Date,NG_CT_pair,LE_SB_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair_NG_CT_pair_pair,sharpe,CAGR
2016-02-24,5.428208360695796,5.140820892112101,-0.9337536413694739,0.6279481330578536,-4.335887048912537,True,False,1.0,False,False,0.0,1.0,-0.005504244145920575,-0.0,2.2780797763808427,2.2780797763808427,1.4956744926273542,0.0207
2016-02-25,5.418918996271822,5.1452550984703365,-0.9331689188238164,0.6175268589595291,-4.582179129159931,False,False,1.0,False,False,0.0,1.0,-0.001019663096564645,-0.001019663096564645,2.277060113284278,2.277060113284278,1.4956744926273542,0.0207
2016-02-26,5.4176639579205315,5.1412117034677625,-0.9324330543495355,0.6238282261985075,-4.082055932490072,False,False,1.0,False,False,0.0,1.0,0.000617085387112128,0.000617085387112128,2.27767719867139,2.27767719867139,1.4956744926273542,0.0207
2016-02-27,5.420948645123222,5.154353209362311,-0.9315521727522359,0.6193997138093001,-4.083156232605697,False,False,1.0,False,False,0.0,1.0,-0.00043321236870871025,-0.00043321236870871025,2.2772439863026817,2.2772439863026817,1.4956744926273542,0.0207
2016-02-28,5.42051986095728,5.15535991023638,-0.9305654113554293,0.6231202454028741,-3.7588660161096277,False,False,1.0,False,False,0.0,1.0,0.0003641183121599774,0.0003641183121599774,2.277608104614841,2.277608104614841,1.4956744926273542,0.0207
2016-02-29,5.420117346839275,5.156263874529783,-0.9295073382962048,0.6273322372722205,-3.4525733612164426,False,False,1.0,False,False,0.0,1.0,0.00041241869168194285,0.00041241869168194285,2.278020523306523,2.278020523306523,1.4956744926273542,0.0207
2016-03-01,5.396990158817654,5.156263874529783,-0.9283371573446709,0.6102388110176564,-3.9665658415805374,False,False,1.0,False,False,0.0,1.0,-0.0016785015844575765,-0.0016785015844575765,2.2763420217220656,2.2763420217220656,1.4956744926273542,0.0207
2016-03-02,5.393383334700243,5.156263874529783,-0.9270884134974178,0.6130708396883779,-3.697067341137167,False,False,1.0,False,False,0.0,1.0,0.00027836773559227395,0.00027836773559227395,2.2766203894576575,2.2766203894576575,1.4956744926273542,0.0207
2016-03-03,5.384214568858462,5.156263874529783,-0.9257708164230536,0.6106959520423274,-3.6369163157329516,False,False,1.0,False,False,0.0,1.0,-0.00023380094777443374,-0.00023380094777443374,2.276386588509883,2.276386588509883,1.4956744926273542,0.0207
2016-03-04,5.3872016969559136,5.156263874529783,-0.9244325678919298,0.6205834426959544,-3.168273102906782,False,False,1.0,False,False,0.0,1.0,0.0009737705317931168,0.0009737705317931168,2.277360359041676,2.277360359041676,1.4956744926273542,0.0207
