Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
11/28/1995,DC_CL,DC,CL,2.65205465822854,0,1.71194473524987,.0556,0,0,50.3180966750906,.119461618076315,1,1,.136595155751082,.708904958543386,.689556381804027,.00768230675753993,.122741145787475,-1.20740313814408,-.316906020497662,1.47691883690508,.0157243756269409,-.934394252113155
11/29/1995,DC_CL,DC,CL,2.58902634183571,0,1.71194473524987,.0556,0,0,49.4813164006815,.119446045627209,1,1,.136631595087048,.708904958543386,.63016431425922,.0205640268601582,.186084654027813,-1.17067667401082,-.265007135703316,1.2609466009236,.0123899343066586,-.904164964534382
11/30/1995,DC_CL,DC,CL,2.5049791422316,0,1.71194473524987,.0556,0,0,48.3912742448068,.119429255569599,1,1,.136668034423014,.708904958543386,.676578883563438,.0693865578833675,.163087906824039,-1.19383202939032,-.244846002153716,1.4153729314558,.00928954549546987,-.909959925397097
12/1/1995,DC_CL,DC,CL,2.09846293008385,0,1.71194473524987,.0556,0,0,42.7412226108068,.119427299332924,1,0,.13670447375898,.708904958543386,.702721506703525,.39520016866228,-.236192529742097,-1.21111622153891,2.39444165880345,1.46696417464931,-1.0053166205707,-1.31372589967784
12/2/1995,DC_CL,DC,CL,2.34660706110816,0,1.71194473524987,.0556,0,0,46.3301167796724,.119425125921686,0,1,.136740913094946,.708904958543386,.675951340057635,.299256421209291,-.159283442057121,-1.21380677363525,-.763429286862127,1.28351596115494,3.11825462834237,-1.29165210423753
12/3/1995,DC_CL,DC,CL,2.34469966511078,0,1.71194473524987,.0556,0,0,46.363615188675,.119422892171405,1,1,.136777352430912,.708904958543386,.647239333369715,.141041145779429,.169453491976038,-1.18040644704975,-.21411077914462,1.3003404764748,-.0364413187027678,-.909901556155604
12/4/1995,DC_CL,DC,CL,2.34282403806329,0,1.71194473524987,.0556,0,0,46.3916502754682,.119420695630007,1,1,.136813791766879,.708904958543386,.646573716482723,.139862643966261,.169853556623874,-1.17997681533982,-.214527853977609,1.29825070102848,-.0361234430441864,-.909767836605308
12/5/1995,DC_CL,DC,CL,2.53458805926337,0,1.71194473524987,.0556,0,0,49.1735447140199,.11941105054942,1,1,.136850231102845,.708904958543386,.634405956533003,.0382918364109816,.166431721009387,-1.17622632406894,-.286977389313327,1.28260252414026,-.011012447796597,-.920334020977538
12/6/1995,DC_CL,DC,CL,2.56148568097908,0,1.71194473524987,.0556,0,0,49.5851894678267,.119395706641125,1,1,.136886670438811,.708904958543386,.630940061253539,.0219606645928125,.173273834132187,-1.17355611637573,-.293305075248118,1.27557855356892,-.00418285072941708,-.918661362145896
12/7/1995,DC_CL,DC,CL,2.64265696390273,0,1.71194473524987,.0556,0,0,50.7542013599011,.119373657106055,1,1,.136923109774777,.708904958543386,.631244423927374,-.0193412761519837,.16831391225601,-1.17487241699275,-.325903655921562,1.28888511282378,.00651406095670586,-.924955339154251
