Date,NG,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_NG_pair,sharpe,CAGR
2007-12-21,7.1370000000000005,19.22,-0.21777310100763372,2.9514009986332805,-0.31886674107574947,False,False,0.0,False,False,0.0,0.0,-0.0028412556658270376,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-22,7.19,19.22,-0.21743839771367826,3.0108339959431047,-0.18465279528816395,False,False,0.0,False,False,0.0,0.0,0.005227559988887183,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-23,7.19,19.22,-0.21720598118067022,3.0153010417075192,-0.1702498611854886,False,False,0.0,False,False,0.0,0.0,0.0003930632725783738,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-24,7.19,19.22,-0.21703442985450858,3.018598258196346,-0.1568936346197133,False,False,0.0,False,False,0.0,0.0,0.00029021212027868196,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-25,7.025,19.22,-0.21653195805771797,2.8632557661306617,-0.4871675337042511,False,False,0.0,False,False,0.0,0.0,-0.013886300501567245,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-26,7.025,19.22,-0.21588671362758802,2.8756573640777585,-0.4525506307113917,False,False,0.0,False,False,0.0,0.0,0.001109827964933644,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-27,7.046,19.22,-0.21524521810388994,2.908986908043236,-0.39253978380293914,False,False,0.0,False,False,0.0,0.0,0.002980372435533417,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-28,7.1720000000000015,19.22,-0.21491444266322007,3.0413444120129123,-0.11762313764045709,False,False,0.0,False,False,0.0,0.0,0.011710301436624443,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-29,7.386,19.22,-0.21522981594389104,3.249282937558415,0.3332594973166852,False,True,0.0,False,False,0.0,0.0,0.018045962980665416,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-30,7.386,19.22,-0.21585263928277817,3.2373122729850037,0.291894227325294,False,False,0.0,False,False,0.0,0.0,-0.0010377970220533273,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2007-12-31,7.386,19.22,-0.21660140387276475,3.2229210175654623,0.2434720810338345,False,False,0.0,False,False,0.0,0.0,-0.0012460955060944324,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-01,7.483,20.6,-0.2169410987095284,3.014013366583714,-0.2741383317205862,False,False,0.0,False,True,0.0,0.0,-0.017478906008618546,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-02,7.483,20.6,-0.21704984935287489,3.0117731033307766,-0.29855181766921185,False,False,0.0,False,False,0.0,0.0,-0.00018740344083325423,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-03,7.85,20.6,-0.21789527753973403,3.361357282681478,0.5528206571674633,False,True,0.0,False,False,0.0,0.0,0.02833246633035456,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-04,7.673999999999999,20.6,-0.21864944119129257,3.1698215114593715,0.057661550833570135,False,False,0.0,False,False,0.0,0.0,-0.015727784857344405,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-05,7.841,20.6,-0.21970917661180578,3.314990961796801,0.4146811628570418,False,False,0.0,False,False,0.0,0.0,0.011738444589874846,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-06,7.841,20.6,-0.22086415360323006,3.2911984357734605,0.34218610934520627,False,False,0.0,False,False,0.0,0.0,-0.0019201765035146764,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-07,7.841,20.6,-0.22200816245470228,3.267631853433133,0.27096459277172885,False,False,0.0,False,False,0.0,0.0,-0.0018983311967306958,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-08,7.879,20.6,-0.22317792106948497,3.281534825968609,0.29759912631146757,False,False,0.0,False,False,0.0,0.0,0.0011143358588788245,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-09,7.967,20.6,-0.22450375397995692,3.3422226680128864,0.446799119335126,False,False,0.0,False,False,0.0,0.0,0.004819640662649837,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-10,8.099,20.6,-0.2261400832474311,3.4405142851029193,0.694036534145029,False,False,0.0,False,False,0.0,0.0,0.0077046229395543505,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-11,8.259,20.6,-0.22820863806194516,3.55790205592393,0.9893583119134227,False,False,0.0,False,False,0.0,0.0,0.009057629913566142,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-12,8.21,20.6,-0.23027585865180972,3.4663173117727206,0.7394317897101624,False,False,0.0,False,False,0.0,0.0,-0.0070701704183663795,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-13,8.21,20.6,-0.23224466331327817,3.42575993574647,0.6232731549491606,False,False,0.0,False,False,0.0,0.0,-0.003121181063740846,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-14,8.21,20.6,-0.23407363522720998,3.3880831143194747,0.5140385637044909,False,False,0.0,False,False,0.0,0.0,-0.0028911189165420808,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-15,8.353,20.6,-0.23606912333922914,3.4899760592118794,0.7701420356962281,False,False,0.0,False,False,0.0,0.0,0.007709803292496789,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-16,8.196,20.6,-0.23770148389623644,3.2993494317375287,0.25867402658479427,False,False,0.0,False,False,0.0,0.0,-0.014559819379617703,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-17,8.133,20.6,-0.23894411889405498,3.2107511507824658,0.02474037395289947,False,False,0.0,False,False,0.0,0.0,-0.006786410736274329,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-18,8.081,20.6,-0.23982734805409314,3.1405566300856806,-0.15846138132345236,False,False,0.0,False,True,0.0,0.0,-0.005390686631481084,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-19,7.9929999999999986,20.6,-0.24030297373013762,3.0427587411591634,-0.4060467039432024,False,False,0.0,False,False,0.0,0.0,-0.007555904040629445,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-20,7.9929999999999986,20.6,-0.2405618311663153,3.0374262779739034,-0.4148685024808547,False,False,0.0,False,False,0.0,0.0,-0.0004118185755230543,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-21,7.9929999999999986,20.6,-0.2407051937501554,3.0344730087467973,-0.41389281003870065,False,False,0.0,False,False,0.0,0.0,-0.00022802479036646684,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-22,7.9929999999999986,20.6,-0.24078679828939187,3.032791955238526,-0.4100877489889213,False,False,0.0,False,False,0.0,0.0,-0.0001297789321735662,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-23,7.67,20.6,-0.24012341463015482,2.72345765861881,-1.21738617471623,False,False,0.0,False,False,0.0,0.0,-0.02451815150694068,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-24,7.621,20.6,-0.23902679866984564,2.69704794740118,-1.26905810453039,False,False,0.0,False,False,0.0,0.0,-0.0021052062301153834,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-25,7.802,20.6,-0.23817157324071522,2.895665591241266,-0.7265895182533807,False,False,0.0,False,False,0.0,0.0,0.015628928028774258,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-26,7.983,20.6,-0.23786837396744395,3.082911496270654,-0.22341120136153356,False,False,0.0,False,False,0.0,0.0,0.01453424037063667,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-27,7.983,20.6,-0.2378424327781751,3.083445884769592,-0.22419956129186047,False,False,0.0,False,False,0.0,0.0,4.148156445981175e-05,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
