Date,CT,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_CT_pair,sharpe,CAGR
2008-02-14,68.64,19.32,-1.7148275068198136,35.509532568241205,-0.6567531264792673,False,False,0.0,False,False,0.0,0.0,-0.0010153179957952763,-0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-15,70.71,19.32,-1.7157519776329353,37.56167179213168,0.36914188637144296,False,True,0.0,False,False,0.0,0.0,0.01975902423331139,0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-16,70.4,19.32,-1.7178647320455123,37.210853376880706,0.18921650655288152,False,False,0.0,False,False,0.0,0.0,-0.003386632931028321,-0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-17,70.4,19.32,-1.7204754782382503,37.16041376043701,0.1604669848255941,False,False,0.0,False,False,0.0,0.0,-0.00048668291985560087,-0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-18,70.4,19.32,-1.723222644287037,37.10733851237445,0.1305878948367725,False,False,0.0,False,False,0.0,0.0,-0.0005118515360790129,-0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-19,70.4,19.32,-1.72592179123045,37.05519099342771,0.1013733745598843,False,False,0.0,False,False,0.0,0.0,-0.0005026518381602683,-0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-20,71.8,19.32,-1.7315544145531976,38.346368710832216,0.7483585759437102,False,False,0.0,False,False,0.0,0.0,0.01226729853963139,0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-21,72.27,19.32,-1.7394307140428071,38.66419860469296,0.9028197152185573,False,False,0.0,False,False,0.0,0.0,0.0030019125208230516,0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-22,74.96,19.32,-1.7539972554360528,41.072773024975454,2.0942582725427417,False,False,0.0,True,False,-1.0,-1.0,0.022128027394167322,0.0,5.049334810723599,5.049334810723599,1.858755449607573,0.0497
2008-02-23,75.81,19.32,-1.7731242170431092,41.55324012672713,2.3170327843188043,False,False,0.0,False,False,-1.0,-1.0,0.004365233448362355,-0.004365233448362355,5.044969577275237,5.044969577275237,1.858755449607573,0.0497
2008-02-24,75.81,19.32,-1.7936942061037047,41.15582793807643,2.1019130280496174,False,False,0.0,False,False,-1.0,-1.0,-0.003597656880349632,0.003597656880349632,5.048567234155587,5.048567234155587,1.858755449607573,0.0497
2008-02-25,75.81,19.32,-1.8141039489090638,40.76151170707689,1.8956885289218854,False,False,0.0,False,False,-1.0,-1.0,-0.003556933141264094,0.003556933141264094,5.052124167296851,5.052124167296851,1.858755449607573,0.0497
2008-02-26,78.81,19.32,-1.8401865633134145,43.25759559678483,3.1018025978298223,False,False,0.0,True,False,-1.0,-1.0,0.021826087889052506,-0.021826087889052506,5.030298079407799,5.030298079407799,1.858755449607573,0.0497
2008-02-27,79.48,19.32,-1.8694435492555976,43.362350628381854,3.104507154115739,False,False,0.0,False,False,-1.0,-1.0,0.0009062038213273776,-0.0009062038213273776,5.029391875586471,5.029391875586471,1.858755449607573,0.0497
2008-02-28,77.93,19.32,-1.8955984698910064,41.30703756170576,2.0825763834267588,False,False,0.0,False,False,-1.0,-1.0,-0.017942033299952576,0.017942033299952576,5.047333908886424,5.047333908886424,1.858755449607573,0.0497
2008-02-29,79.33,19.32,-1.922198337173531,42.19312812580738,2.4924570890143083,False,False,0.0,False,False,-1.0,-1.0,0.007608091037756801,-0.007608091037756801,5.039725817848667,5.039725817848667,1.858755449607573,0.0497
2008-03-01,81.86,17.03,-1.9609190034330852,48.46554937153456,5.282960651742981,False,False,0.0,False,False,-1.0,-1.0,0.054422377717516304,-0.054422377717516304,4.985303440131151,4.985303440131151,1.858755449607573,0.0497
2008-03-02,81.86,17.03,-2.003947437399489,47.7327751410867,4.731347026538885,False,False,0.0,False,False,-1.0,-1.0,-0.006317715001278845,0.006317715001278845,4.99162115513243,4.99162115513243,1.858755449607573,0.0497
2008-03-03,81.86,17.03,-2.04771558774836,46.987403540645424,4.2461507872250674,False,False,0.0,False,False,-1.0,-1.0,-0.006385291024523788,0.006385291024523788,4.998006446156953,4.998006446156953,1.858755449607573,0.0497
2008-03-04,84.86,17.03,-2.0965315285618833,49.156068068591125,4.949872698045709,False,False,0.0,False,False,-1.0,-1.0,0.01798767254189666,-0.01798767254189666,4.980018773615057,4.980018773615057,1.858755449607573,0.0497
2008-03-05,88.86,17.03,-2.154465636790162,52.16945020546354,5.810689757962633,False,False,0.0,False,False,-1.0,-1.0,0.024001345607835387,-0.024001345607835387,4.956017428007222,4.956017428007222,1.858755449607573,0.0497
2008-03-06,89.28,17.03,-2.2160743759317643,51.54025337788205,5.2768005219319365,False,False,0.0,False,False,-1.0,-1.0,-0.004953535527458894,0.004953535527458894,4.96097096353468,4.96097096353468,1.858755449607573,0.0497
2008-03-07,85.28,17.03,-2.2693472746129,46.633015913342305,3.374714035678319,False,False,0.0,False,False,-1.0,-1.0,-0.03959781237884634,0.03959781237884634,5.000568775913527,5.000568775913527,1.858755449607573,0.0497
