Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
2014-06-02,3071.0,102.71,-23.997783401937465,606.1876667870033,1.8825728609672485,False,False,0.0,False,False,-1.0,-1.0,-0.0013561152829889606,0.0013561152829889606,9.071402228391326,9.071402228391326,1.9047817571275214,0.0578
2014-06-03,3069.0,102.47,-24.067161529524657,602.8379580696082,1.7130921841490245,False,False,0.0,False,False,-1.0,-1.0,-0.0006051690432945026,0.0006051690432945026,9.072007397434621,9.072007397434621,1.9047817571275214,0.0578
2014-06-04,3070.0,102.66,-24.127195208667978,593.1021398781454,1.3892701199533066,False,False,0.0,False,False,-1.0,-1.0,-0.001755182524894908,0.001755182524894908,9.073762579959515,9.073762579959515,1.9047817571275214,0.0578
2014-06-05,3088.0,102.64,-24.197046191585343,604.4151788956801,1.608761232214686,False,False,0.0,False,False,-1.0,-1.0,0.0020304885200136667,-0.0020304885200136667,9.071732091439502,9.071732091439502,1.9047817571275214,0.0578
2014-06-06,3092.0,102.48,-24.268215529100193,604.9932725778121,1.5425471886512119,False,False,0.0,False,False,-1.0,-1.0,0.00010361946317263765,-0.00010361946317263765,9.071628471976329,9.071628471976329,1.9047817571275214,0.0578
2014-06-07,3079.0,102.66,-24.318491872352272,582.4636243843156,0.9214338735133454,False,False,0.0,False,False,-1.0,-1.0,-0.004040803731821889,0.004040803731821889,9.075669275708151,9.075669275708151,1.9047817571275214,0.0578
2014-06-08,3079.0,102.66,-24.36286106511182,577.9086830556207,0.773343953143889,False,False,0.0,False,False,-1.0,-1.0,-0.0008162843706273162,0.0008162843706273162,9.076485560078778,9.076485560078778,1.9047817571275214,0.0578
2014-06-09,3079.0,102.66,-24.402924949763577,573.7957246572714,0.6377076026054505,False,False,0.0,False,False,-1.0,-1.0,-0.0007365343736636247,0.0007365343736636247,9.077222094452441,9.077222094452441,1.9047817571275214,0.0578
2014-06-10,3077.0,104.41,-24.401097737521773,529.2813852253516,-0.4903990400567743,False,False,0.0,False,True,0.0,0.0,-0.007914056236518637,0.007914056236518637,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-11,3087.0,104.35,-24.406152946023816,540.2179400824148,-0.18634989944483946,False,False,0.0,False,False,0.0,0.0,0.0019412456393854748,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-12,3120.0,104.4,-24.43824699355331,568.6470138730342,0.5377808174289839,False,True,0.0,False,False,0.0,0.0,0.005012749842967189,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-13,3085.0,106.53,-24.395554444722,486.1415850037656,-1.5298926593674023,False,False,0.0,False,True,0.0,0.0,-0.014515743152853195,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-14,3085.0,106.91,-24.34362242040234,482.42332703478587,-1.5475833594991482,False,False,0.0,False,False,0.0,0.0,-0.0006537508297081525,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-15,3085.0,106.91,-24.2958549834756,487.53014371662357,-1.3631336117156128,False,False,0.0,False,False,0.0,0.0,0.0008986966602543171,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-16,3085.0,106.91,-24.252795271113005,492.13365756530857,-1.2138624994593574,False,False,0.0,False,False,0.0,0.0,0.0008107823557380522,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-17,3126.0,106.9,-24.248670394194555,533.817134860602,-0.2272740654698691,False,False,0.0,False,False,0.0,0.0,0.007289636984052145,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-18,3136.0,106.36,-24.267021212306595,554.9596238590707,0.2980522091492378,False,True,0.0,False,False,0.0,0.0,0.0036981528216423307,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-19,3141.0,105.97,-24.29740062983854,566.2044552560101,0.5545065413570752,False,False,0.0,False,False,0.0,0.0,0.001967325687021761,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-20,3140.0,106.43,-24.315711167489557,552.0788604440863,0.20264074922706,False,False,0.0,False,False,0.0,0.0,-0.0024660944988182756,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-21,3117.0,107.26,-24.295452339753925,511.0697820379937,-0.772167655973415,False,False,0.0,False,True,0.0,0.0,-0.007165748461755028,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-22,3117.0,107.26,-24.274357328066277,513.3324329916109,-0.7075813858260764,False,False,0.0,False,False,0.0,0.0,0.00039552218812119997,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-23,3117.0,107.26,-24.25512083469075,515.3957392710699,-0.640733507716177,False,False,0.0,False,False,0.0,0.0,0.00036080592140783703,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-24,3096.0,106.17,-24.24227444425211,522.1977222537535,-0.47114714293107096,False,False,0.0,False,False,0.0,0.0,0.0011996861000569685,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-25,3056.0,106.03,-24.20057279614625,490.013266424613,-1.2345039731829053,False,False,0.0,False,False,0.0,0.0,-0.005724747736761782,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-26,3076.0,106.5,-24.167739554197272,502.13573747799046,-0.9526856063101983,False,False,0.0,False,False,0.0,0.0,0.002145621645070494,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-27,3055.0,105.84,-24.134243703439612,500.6316464279512,-1.013653566712402,False,False,0.0,False,False,0.0,0.0,-0.0002681391121482462,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-28,3140.0,105.74,-24.176261235023183,583.6021370086487,0.9485172624825138,False,True,0.0,False,False,0.0,0.0,0.014565431098088222,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-29,3140.0,105.74,-24.21979462933075,578.9989158945668,0.8011494969077035,False,False,0.0,False,False,0.0,0.0,-0.0008074408417349339,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-06-30,3140.0,105.74,-24.259609388480275,574.788903262096,0.6645490781771298,False,False,0.0,False,False,0.0,0.0,-0.000737924076968508,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
