Date,FC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_FC_pair,sharpe,CAGR
1995-08-05,67.95,64.7,-1.0345138674013412,1.01695277913322,0.1514729972137356,False,True,0.0,False,False,0.0,0.0,0.0015862167623430503,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-06,67.95,64.7,-1.03427964398633,1.0321070340844472,-0.06466177475542079,False,False,0.0,False,True,0.0,0.0,0.00011236369619162794,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-07,67.95,64.7,-1.0340740225924885,1.0454107382659998,0.4946031786917846,False,True,0.0,False,False,0.0,0.0,9.865221683877623e-05,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-08,67.87,64.6,-1.0339184443609328,1.0788684942837534,0.8934515785819556,False,False,0.0,False,False,0.0,0.0,0.0002484588956267112,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-09,66.82,63.25,-1.0342109310927723,1.4061586083821425,1.7612051870547671,False,False,0.0,False,False,0.0,0.0,0.0024750858831144537,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-10,67.07,63.3,-1.0347947589403321,1.5674917590769724,1.5978555646132675,False,False,0.0,False,False,0.0,0.0,0.001216942734474333,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-11,66.57,62.72,-1.0355020811615872,1.623309469545248,1.213052147078912,False,False,0.0,False,False,0.0,0.0,0.00042441541254682107,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-12,66.97,62.87,-1.0364776152632023,1.8066523284024782,1.2575568621217204,False,False,0.0,False,False,0.0,0.0,0.001387559326150642,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-13,66.97,62.87,-1.037419166602314,1.7474569957125112,0.7877818188816031,False,False,0.0,False,False,0.0,0.0,-0.00044779630790556095,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-14,66.97,62.87,-1.0382826940616743,1.693167024342543,0.3666511586594519,False,False,0.0,False,False,0.0,0.0,-0.0004105200113182398,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-15,66.85,62.37,-1.0395637425565798,2.0124093767461204,1.7169326891817758,False,False,0.0,False,False,0.0,0.0,0.0024242402104303097,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-16,67.02,62.4,-1.0409842890814998,2.062580361314417,1.3493297887628337,False,False,0.0,False,False,0.0,0.0,0.0003801482458563727,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-17,66.7,61.77,-1.042736393718055,2.290172960035747,1.5601268185762613,False,False,0.0,False,False,0.0,0.0,0.0017358927538814934,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-18,66.62,61.92,-1.0441128512598674,1.9685322499890106,0.028127886754702337,False,False,0.0,False,False,0.0,0.0,-0.0024501951228218023,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-19,66.3,61.32,-1.0457093703271483,2.177101411539269,0.7019144694264875,False,False,0.0,False,False,0.0,0.0,0.0015991759407861497,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-20,66.3,61.32,-1.0472208529186866,2.0844172990261285,-0.1261275364597617,False,False,0.0,False,True,0.0,0.0,-0.0007101382884332689,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
