Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1993-01-21,367.6,11.34,-28.345831520153748,46.158270561456504,1.4925579079281401,False,False,0.0,False,False,0.0,0.0,0.009634923299666427,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-22,365.7,11.34,-28.400442460909595,43.6389824932852,1.2059033216026096,False,False,0.0,False,False,0.0,0.0,-0.003663028296230398,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-23,366.0,11.34,-28.457494751817556,43.292009514388894,1.1646113825908841,False,False,0.0,False,False,0.0,0.0,-0.0005038027490455735,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-24,366.0,11.34,-28.514471594794227,42.64589211503346,1.0892664408110093,False,False,0.0,False,False,0.0,0.0,-0.0009372793923544024,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-25,366.0,11.34,-28.5697826885753,42.01866431155611,1.0162998428700638,False,False,0.0,False,False,0.0,0.0,-0.0009090503917059196,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-26,367.8,11.34,-28.626961496425935,43.170256630529934,1.1424080568993165,False,False,0.0,False,False,0.0,0.0,0.0016631179264050672,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-27,369.2,11.34,-28.687190605974386,43.88725852825047,1.2193619636018111,False,False,0.0,False,False,0.0,0.0,0.0010323812003810461,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-28,362.4,11.34,-28.73064877553189,36.59444288546837,0.40363981480189626,False,False,0.0,False,False,0.0,0.0,-0.010596856662069103,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-29,363.1,11.34,-28.764014697434778,36.91607333108965,0.4390060887409695,False,False,0.0,False,False,0.0,0.0,0.00046661532813570527,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-30,362.8,11.34,-28.789298969763035,36.3293496828872,0.37397784129098727,False,False,0.0,False,False,0.0,0.0,-0.000851223895769415,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-01-31,362.8,11.34,-28.808752468662494,36.10874700536732,0.34977694646070234,False,False,0.0,False,False,0.0,0.0,-0.00031994992911330694,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-01,362.8,10.89,-28.855935242561063,48.55886520851004,1.73576700900295,False,False,0.0,False,False,0.0,0.0,0.01838901296149017,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-02,362.1,10.89,-28.91748913696807,47.188543298417756,1.579530071423858,False,False,0.0,False,False,0.0,0.0,-0.002024074920044235,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-03,360.3,10.89,-28.98207827356653,44.685167600860495,1.2965227369777497,False,False,0.0,False,False,0.0,0.0,-0.0037036851058166644,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-04,360.3,10.89,-29.046913533798907,43.97911161692991,1.2144699388720686,False,False,0.0,False,False,0.0,0.0,-0.001043503084301541,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-05,361.0,10.89,-29.11193219606375,43.97105838486573,1.2101885358545357,False,False,0.0,False,False,0.0,0.0,-1.187741639022288e-05,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-06,361.2,10.89,-29.175851373416943,43.47497854348944,1.150792980799015,False,False,0.0,False,False,0.0,0.0,-0.0007306842813246691,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-07,361.2,10.89,-29.237381756469947,42.804912672042235,1.0718753631740618,False,False,0.0,False,False,0.0,0.0,-0.0009859780977549176,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-08,361.2,10.89,-29.295755240924795,42.16922542632898,0.9970129158828556,False,False,0.0,False,False,0.0,0.0,-0.0009345170337400105,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-09,361.8,10.89,-29.352039668471512,42.156288010345236,0.9923384646438261,False,False,0.0,False,False,0.0,0.0,-1.89853039306333e-05,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-10,367.8,10.89,-29.420332369434096,47.41258049686269,1.5780934747069124,False,False,0.0,False,False,0.0,0.0,0.007637879358957811,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-11,370.8,10.89,-29.501916231094903,49.52413224337653,1.8072949740049444,False,False,0.0,False,False,0.0,0.0,0.0030510408538856775,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-12,371.4,10.89,-29.591307159573994,49.15066503223915,1.7576037446297414,False,False,0.0,False,False,0.0,0.0,-0.0005384092398138593,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-13,368.6,10.89,-29.67633071030188,45.42475856481252,1.3358133992827543,False,False,0.0,False,False,0.0,0.0,-0.005386007252437504,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-14,368.6,10.89,-29.75625973198423,44.554331518691754,1.2342687586223289,False,False,0.0,False,False,0.0,0.0,-0.0012566700200829397,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-15,368.6,10.89,-29.830760429098714,43.74301892711503,1.1400142033592586,False,False,0.0,False,False,0.0,0.0,-0.0011699537443858406,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
