Date,QS,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_QS_pair,sharpe,CAGR
2010-12-18,776.0,15.44,-32.46923289293114,274.6750441331432,0.9197038191154195,False,False,0.0,False,False,-1.0,-1.0,-0.0040780038597696255,0.0040780038597696255,5.575421913995287,5.575421913995287,1.8271343616170785,0.0501
2010-12-19,776.0,15.44,-32.59748952676637,272.6947617067273,0.8408476345064704,False,False,0.0,False,False,-1.0,-1.0,-0.0015479358382506129,0.0015479358382506129,5.576969849833538,5.576969849833538,1.8271343616170785,0.0501
2010-12-20,776.0,15.44,-32.713010669478784,270.9111152632476,0.7708607842672976,False,False,0.0,False,False,-1.0,-1.0,-0.0013922893756479885,0.0013922893756479885,5.578362139209186,5.578362139209186,1.8271343616170785,0.0501
2010-12-21,774.25,15.44,-32.81336455547013,267.6116512635412,0.641863510745544,False,False,0.0,False,False,-1.0,-1.0,-0.0025759185044982127,0.0025759185044982127,5.580938057713684,5.580938057713684,1.8271343616170785,0.0501
2010-12-22,787.25,15.44,-32.93163210347803,278.7856003222992,1.0751256372160534,False,False,0.0,False,False,-1.0,-1.0,0.008623774700302357,-0.008623774700302357,5.572314283013382,5.572314283013382,1.8271343616170785,0.0501
2010-12-23,791.0,15.44,-33.064341728347614,280.48656371431287,1.1382073452561894,False,False,0.0,False,False,-1.0,-1.0,0.001306911895483713,-0.001306911895483713,5.571007371117898,5.571007371117898,1.8271343616170785,0.0501
2010-12-24,794.0,15.44,-33.20731971521952,281.27898359701067,1.1634923541115187,False,False,0.0,False,False,-1.0,-1.0,0.000606418564292395,-0.000606418564292395,5.570400952553606,5.570400952553606,1.8271343616170785,0.0501
2010-12-25,789.0,15.44,-33.33936078459091,274.24026948591643,0.886672919478786,False,False,0.0,False,False,-1.0,-1.0,-0.0053987816515231775,0.0053987816515231775,5.5757997342051295,5.5757997342051295,1.8271343616170785,0.0501
2010-12-26,789.0,15.44,-33.46059817607481,272.3683641614049,0.8090504646162825,False,False,0.0,False,False,-1.0,-1.0,-0.0014337162742761186,0.0014337162742761186,5.577233450479405,5.577233450479405,1.8271343616170785,0.0501
2010-12-27,789.0,15.44,-33.57148145774314,270.6563262924459,0.7393980685570251,False,False,0.0,False,False,-1.0,-1.0,-0.0013095545596696412,0.0013095545596696412,5.578543005039075,5.578543005039075,1.8271343616170785,0.0501
2010-12-28,787.75,15.44,-33.66971662990625,267.88957523424756,0.6293800844846259,False,False,0.0,False,False,-1.0,-1.0,-0.0021158832981114984,0.0021158832981114984,5.580658888337187,5.580658888337187,1.8271343616170785,0.0501
2010-12-29,791.0,15.44,-33.76494419664468,269.66926160380615,0.6958054449734336,False,False,0.0,False,False,-1.0,-1.0,0.001356126407382299,-0.001356126407382299,5.579302761929804,5.579302761929804,1.8271343616170785,0.0501
2010-12-30,792.0,15.44,-33.857403023734655,269.241697313537,0.6771445934576489,False,False,0.0,False,False,-1.0,-1.0,-0.0003252037194939378,0.0003252037194939378,5.579627965649298,5.579627965649298,1.8271343616170785,0.0501
2010-12-31,779.25,15.44,-33.91524216609231,255.59866095553468,0.1497239659293113,False,False,0.0,False,False,-1.0,-1.0,-0.010471273571648915,0.010471273571648915,5.5900992392209465,5.5900992392209465,1.8271343616170785,0.0501
2011-01-01,777.0,13.83,-34.06353749227407,305.90127648184955,2.0767501622541586,False,False,0.0,True,False,-1.0,-1.0,0.040303394738295584,-0.040303394738295584,5.5497958444826505,5.5497958444826505,1.8271343616170785,0.0501
2011-01-02,777.0,13.83,-34.25302171528242,303.2807096776441,1.9582245870602217,False,False,0.0,False,False,-1.0,-1.0,-0.0020952477702091228,0.0020952477702091228,5.55189109225286,5.55189109225286,1.8271343616170785,0.0501
2011-01-03,777.0,13.83,-34.45932552051184,300.42752805132125,1.8359534252541523,False,False,0.0,False,False,-1.0,-1.0,-0.0022760404285901226,0.0022760404285901226,5.55416713268145,5.55416713268145,1.8271343616170785,0.0501
2011-01-04,806.75,13.83,-34.730738546309915,326.42388590453385,2.781017106992901,False,False,0.0,True,False,-1.0,-1.0,0.020197995727301934,-0.020197995727301934,5.533969136954148,5.533969136954148,1.8271343616170785,0.0501
2011-01-05,784.75,13.83,-34.98626299625661,300.889982761771,1.808816290130348,False,False,0.0,False,False,-1.0,-1.0,-0.020127464544502236,0.020127464544502236,5.55409660149865,5.55409660149865,1.8271343616170785,0.0501
2011-01-06,794.75,13.83,-35.246626051377504,307.2891617094491,2.0279676571983827,False,False,0.0,True,False,-1.0,-1.0,0.004990738462489909,-0.004990738462489909,5.549105863036161,5.549105863036161,1.8271343616170785,0.0501
2011-01-07,793.5,13.83,-35.50008782113494,302.53378543370377,1.835647720722033,False,False,0.0,False,False,-1.0,-1.0,-0.0037022198184877915,0.0037022198184877915,5.552808082854648,5.552808082854648,1.8271343616170785,0.0501
2011-01-08,785.75,13.83,-35.726165910135606,291.6571254628246,1.4273815686391178,False,False,0.0,False,False,-1.0,-1.0,-0.008498433821270811,0.008498433821270811,5.561306516675919,5.561306516675919,1.8271343616170785,0.0501
2011-01-09,785.75,13.83,-35.9299445554518,288.83886679810166,1.3169520714869227,False,False,0.0,False,False,-1.0,-1.0,-0.002197196587447628,0.002197196587447628,5.5635037132633665,5.5635037132633665,1.8271343616170785,0.0501
2011-01-10,785.75,13.83,-36.11489394834786,286.28101669434903,1.2170669980872106,False,False,0.0,False,False,-1.0,-1.0,-0.0019902056668768637,0.0019902056668768637,5.565493918930243,5.565493918930243,1.8271343616170785,0.0501
2011-01-11,797.25,13.83,-36.308480688605655,295.1037120765838,1.5293705322915558,False,False,0.0,False,False,-1.0,-1.0,0.006789841916767706,-0.006789841916767706,5.558704077013475,5.558704077013475,1.8271343616170785,0.0501
2011-01-12,809.5,13.83,-36.52832227124527,304.3133029886779,1.8485723181089335,False,False,0.0,False,False,-1.0,-1.0,0.0070051601898994285,-0.0070051601898994285,5.551698916823576,5.551698916823576,1.8271343616170785,0.0501
2011-01-13,819.5,13.83,-36.77914980666156,310.84435817387066,2.0628185260081464,False,False,0.0,True,False,-1.0,-1.0,0.004917386923277294,-0.004917386923277294,5.546781529900299,5.546781529900299,1.8271343616170785,0.0501
2011-01-14,819.5,13.83,-37.04064127268873,307.2279311987148,1.9149952690078722,False,False,0.0,False,False,-1.0,-1.0,-0.002715499941676163,0.002715499941676163,5.549497029841975,5.549497029841975,1.8271343616170785,0.0501
2011-01-15,821.0,13.83,-37.30384343878476,305.0878452416067,1.8231776538025235,False,False,0.0,False,False,-1.0,-1.0,-0.0016007678211997925,0.0016007678211997925,5.551097797663175,5.551097797663175,1.8271343616170785,0.0501
2011-01-16,821.0,13.83,-37.56001277106848,301.5450233761229,1.6838081445608515,False,False,0.0,False,False,-1.0,-1.0,-0.0026429995242413093,0.0026429995242413093,5.553740797187416,5.553740797187416,1.8271343616170785,0.0501
2011-01-17,821.0,13.83,-37.804165861438435,298.1683861363065,1.5518202423037253,False,False,0.0,False,False,-1.0,-1.0,-0.002512693707292801,0.002512693707292801,5.556253490894709,5.556253490894709,1.8271343616170785,0.0501
2011-01-18,819.5,13.83,-38.03026420107684,293.54144609910736,1.3784963148360954,False,False,0.0,False,False,-1.0,-1.0,-0.0034389316741004145,0.0034389316741004145,5.559692422568809,5.559692422568809,1.8271343616170785,0.0501
2011-01-19,826.25,13.83,-38.25418978448249,297.1945552806071,1.495426404065995,False,False,0.0,False,False,-1.0,-1.0,0.0026954139347209,-0.0026954139347209,5.556997008634088,5.556997008634088,1.8271343616170785,0.0501
2011-01-20,829.25,13.83,-38.47670967936005,297.1171051344505,1.4813671541323752,False,False,0.0,False,False,-1.0,-1.0,-5.6890788365783224e-05,5.6890788365783224e-05,5.557053899422454,5.557053899422454,1.8271343616170785,0.0501
2011-01-21,814.5,13.83,-38.65721214480973,279.87075603728135,0.8738100040320035,False,False,0.0,False,False,-1.0,-1.0,-0.012783318703041733,0.012783318703041733,5.569837218125495,5.569837218125495,1.8271343616170785,0.0501
2011-01-22,822.5,13.83,-38.82591314983193,285.5376211378243,1.0648745442916685,False,False,0.0,False,False,-1.0,-1.0,0.0041684604065953925,-0.0041684604065953925,5.5656687577189,5.5656687577189,1.8271343616170785,0.0501
