Date,SB,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair,sharpe,CAGR
2009-01-17,12.26,84.525,-0.13557734981114902,0.8003245072126273,0.7757605413455518,False,True,0.0,False,False,0.0,0.0,0.009426158698171757,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-18,12.26,84.525,-0.13617803536436432,0.7495515608271042,0.7647971889367247,False,False,0.0,False,False,0.0,0.0,-0.002135969227313819,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-19,12.26,84.525,-0.13672568867890536,0.7032611644155242,0.7523294140045993,False,False,0.0,False,False,0.0,0.0,-0.0019436076757250113,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-20,12.26,84.525,-0.13722186289903046,0.6613220384594491,0.4138047863568053,False,False,0.0,False,False,0.0,0.0,-0.0017578143275029591,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-21,12.59,82.625,-0.1382613543216245,1.1661555991757755,1.6532515619299604,False,False,0.0,False,False,0.0,0.0,0.021022604806209162,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-22,12.6,82.35,-0.13931918847121214,1.1270648293956818,1.3079630066459091,False,False,0.0,False,False,0.0,0.0,-0.001623847258469247,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-23,12.38,82.275,-0.140083356433553,0.8546418494294272,-0.05647851554054357,False,False,0.0,False,True,0.0,0.0,-0.011395896194082008,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-24,12.7,82.675,-0.14102130783873632,1.0410633744324755,0.6721166225520796,False,True,0.0,False,False,0.0,0.0,0.007653106039422811,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-25,12.7,82.675,-0.14190001710848607,0.9684160855559139,0.1844595121949404,False,False,0.0,False,False,0.0,0.0,-0.0029734989401817794,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-26,12.7,82.675,-0.14270054132011353,0.9022327463596138,-0.3336119805837365,False,False,0.0,False,True,0.0,0.0,-0.0027016069877333474,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-27,12.92,82.35,-0.14369577619548543,1.0866528303017748,0.5639895345963919,False,True,0.0,False,False,0.0,0.0,0.0074503089492445945,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-28,12.91,81.275,-0.14477508553887458,1.1434049228279672,1.1218010340735265,False,False,0.0,False,False,0.0,0.0,0.0022998348171094705,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-29,12.87,81.175,-0.1457507241829212,1.0386849644513703,0.32921016851546664,False,False,0.0,False,False,0.0,0.0,-0.004239448718656897,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-30,12.59,81.1,-0.1463646885602049,0.7198237577673829,-1.8891652135835277,False,False,0.0,False,True,0.0,0.0,-0.013035932510308155,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-01-31,12.67,82.0,-0.14683945216685584,0.6291649223178215,-1.559366807002354,False,False,0.0,False,False,0.0,0.0,-0.0036687888193402585,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-01,12.67,82.0,-0.14726064257270358,0.594627309038307,-1.2319503790912518,False,False,0.0,False,False,0.0,0.0,-0.0013957200689941312,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-02,12.67,82.0,-0.14764148276343575,0.5633984133982679,-1.0312468901804421,False,False,0.0,False,False,0.0,0.0,-0.0012604188484399122,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-03,12.75,83.9,-0.14778250202994025,0.3510480796880113,-1.3247506723877063,False,False,0.0,False,False,0.0,0.0,-0.008443705104813857,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-04,12.66,83.525,-0.14785128380157508,0.31072152047344126,-1.1941996313069925,False,False,0.0,False,False,0.0,0.0,-0.001612463920044025,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
