Date,SI,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_SI_pair,sharpe,CAGR
2018-04-25,17.244,14.22,-0.5078817528092827,10.021921475052,0.6329849362369223,False,False,0.0,False,False,-1.0,-1.0,0.004099906493156148,-0.004099906493156148,8.016817917260575,8.016817917260575,1.8158425734557542,0.0518
2018-04-26,17.045,14.22,-0.5090905961754264,9.805731722385438,0.14119006272657014,False,False,0.0,False,False,-1.0,-1.0,-0.008902461058126565,0.008902461058126565,8.025720378318702,8.025720378318702,1.8158425734557542,0.0518
2018-04-27,17.035999999999998,14.22,-0.5098492588639041,9.785943538955282,0.09371727873837209,False,False,0.0,False,False,-1.0,-1.0,-0.0008147960728781615,0.0008147960728781615,8.02653517439158,8.02653517439158,1.8158425734557542,0.0518
2018-04-28,16.957,14.22,-0.510129307784266,9.702961243307737,-0.09648763969166774,False,False,0.0,False,True,0.0,0.0,-0.003427457057149502,0.003427457057149502,8.02996263144873,8.02996263144873,1.8158425734557542,0.0518
2018-04-29,16.957,14.22,-0.5101230089273201,9.703050813053508,-0.09819294050446906,False,False,0.0,False,False,0.0,0.0,3.6995553160612276e-06,0.0,8.02996263144873,8.02996263144873,1.8158425734557542,0.0518
2018-04-30,16.455,14.22,-0.5087339693853205,9.22080295534074,-1.1868615777361688,False,False,0.0,False,False,0.0,0.0,-0.020357290152284442,-0.0,8.02996263144873,8.02996263144873,1.8158425734557542,0.0518
2018-05-01,16.312,14.47,-0.5058943464573045,8.991708806762805,-1.689186367569866,False,False,0.0,False,False,0.0,0.0,-0.009694115001574416,-0.0,8.02996263144873,8.02996263144873,1.8158425734557542,0.0518
2018-05-02,16.039,14.47,-0.5016249737110257,8.780486630401459,-2.1330928662214874,True,False,1.0,False,False,0.0,1.0,-0.009066297033956202,-0.0,8.02996263144873,8.02996263144873,1.8158425734557542,0.0518
2018-05-03,16.826,14.47,-0.4986354412069969,9.610745165734755,-0.28759934445966634,False,False,1.0,False,False,0.0,1.0,0.03453474209465785,0.03453474209465785,8.064497373543386,8.064497373543386,1.8158425734557542,0.0518
2018-05-04,16.362000000000002,14.47,-0.4953435382798393,9.194379001090727,-1.2133776633999127,False,False,1.0,False,False,0.0,1.0,-0.017695404641805704,-0.017695404641805704,8.04680196890158,8.04680196890158,1.8158425734557542,0.0518
2018-05-05,16.975,14.47,-0.4935206964782504,9.833755521959716,0.20548641877832247,False,True,0.0,False,False,0.0,0.0,0.02651227563442522,0.02651227563442522,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-06,16.975,14.47,-0.4926093553324265,9.84694262833979,0.23079482987405306,False,False,0.0,False,False,0.0,0.0,0.0005471134295011931,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-07,16.535,14.47,-0.4911663479006116,9.42782294587815,-0.7049454568499375,False,False,0.0,False,True,0.0,0.0,-0.017727626415375685,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-08,16.953,14.47,-0.49050170655509756,9.855440306147738,0.24314743398839433,False,True,0.0,False,False,0.0,0.0,0.0177799338440716,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-09,16.939,14.47,-0.4902728877737958,9.844751313913175,0.21723234412215264,False,False,0.0,False,False,0.0,0.0,-0.00044475852491598406,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-10,16.458,14.47,-0.48912157706304704,9.380410779897709,-0.8194134543765383,False,False,0.0,False,True,0.0,0.0,-0.01972929293050639,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-11,16.68,14.47,-0.4880264036848466,9.61825793868027,-0.29052583577587454,False,False,0.0,False,False,0.0,0.0,0.01001810053231366,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-12,16.676,14.47,-0.4869927917553142,9.629214303300602,-0.2693926977136746,False,False,0.0,False,False,0.0,0.0,0.0004618498333379423,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-13,16.676,14.47,-0.48603132891450673,9.643126670607085,-0.2405592875711588,False,False,0.0,False,False,0.0,0.0,0.000586800018423297,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-14,16.725,14.47,-0.48526470178544584,9.7032197651646,-0.10434274384184275,False,False,0.0,False,False,0.0,0.0,0.0025305786284812643,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-15,16.57,14.47,-0.48426034637222204,9.562752787993947,-0.4209528560474777,False,False,0.0,False,False,0.0,0.0,-0.005957734416896847,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-16,16.724,14.47,-0.48352891878374477,9.727336545199213,-0.05100237614654355,False,False,0.0,False,False,0.0,0.0,0.0069384128955278495,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-17,16.297,14.47,-0.48194525201860705,9.323252203290757,-0.9553950005932089,False,False,0.0,False,False,0.0,0.0,-0.017364476012481152,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-18,16.935,14.47,-0.48147268523859876,9.968090244597473,0.48637132532401894,False,True,0.0,False,False,0.0,0.0,0.02697851543686647,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-19,16.387,14.47,-0.4803294160978278,9.436633349064433,-0.7068936416230873,False,False,0.0,False,True,0.0,0.0,-0.022772787670614695,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-20,16.387,14.47,-0.4788416738998937,9.458160978668538,-0.657360904167976,False,False,0.0,False,False,0.0,0.0,0.0009233049509566976,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
