Date,Price,Open,High,Low,Vol.,Change %
2015-10-25,1169.9,1169.9,1169.9,1169.9,0.00K,1.78%
2015-09-25,1149.4,1149.4,1149.4,1149.4,0.45K,-2.39%
2015-08-25,1177.5,1177.5,1177.5,1177.5,12.82K,2.97%
2015-07-25,1143.5,1143.5,1143.5,1143.5,57.76K,-7.01%
2015-06-25,1229.7,1229.7,1229.7,1229.7,5.98K,-0.89%
2015-05-25,1240.8,1240.8,1240.8,1240.8,57.93K,0.72%
2015-04-25,1231.9,1231.9,1231.9,1231.9,7.45K,0.09%
2015-03-25,1230.8,1230.8,1230.8,1230.8,42.95K,-2.90%
2015-02-25,1267.6,1267.6,1267.6,1267.6,7.75K,-4.36%
2015-01-25,1325.4,1325.4,1325.4,1325.4,78.26K,5.92%
2014-12-25,1251.3,1251.3,1251.3,1251.3,11.02K,0.52%
2014-11-25,1244.8,1244.8,1244.8,1244.8,88.66K,-0.30%
2014-10-25,1248.5,1248.5,1248.5,1248.5,0.00K,-4.74%
2014-09-25,1310.6,1310.6,1310.6,1310.6,8.21K,-5.34%
2014-08-25,1384.5,1384.5,1384.5,1384.5,0.00K,-0.06%
2014-07-25,1385.4,1385.4,1385.4,1385.4,43.10K,-2.37%
2014-06-25,1419.0,1419.0,1419.0,1419.0,10.00K,5.67%
2014-05-25,1342.8,1342.8,1342.8,1342.8,0.50K,-4.47%
2014-04-25,1405.7,1405.7,1405.7,1405.7,0.50K,-0.14%
2014-03-25,1407.7,1407.7,1407.7,1407.7,70.78K,-2.68%
2014-02-25,1446.4,1446.4,1446.4,1446.4,11.52K,5.56%
2014-01-25,1370.2,1370.2,1370.2,1370.2,52.67K,2.38%
2013-12-25,1338.4,1338.4,1338.4,1356.4,14.56K,-2.82%
2013-11-25,1377.2,1377.2,1377.2,1377.2,92.25K,-5.28%
2013-10-25,1453.9,1453.9,1453.9,1453.9,2.56K,-2.12%
2013-09-25,1485.4,1485.4,1485.4,1485.4,4.59K,-5.57%
2013-08-25,1573.0,1573.0,1573.0,1573.0,10.14K,7.11%
2013-07-25,1468.6,1468.6,1468.6,1468.6,51.81K,6.82%
2013-06-25,1374.9,1374.9,1374.9,1374.9,12.13K,-1.27%
2013-05-25,1392.6,1475.8,1487.1,1342.9,53.45K,-5.41%
2013-04-25,1472.2,1596.8,1602.6,1323.0,14.30K,-7.69%
2013-03-25,1594.8,1579.6,1613.1,1561.8,58.37K,1.08%
2013-02-25,1577.7,1663.9,1683.4,1554.5,10.81K,-4.99%
2013-01-25,1660.6,1672.8,1694.7,1625.7,51.88K,-0.85%
2012-12-25,1674.8,1714.9,1722.3,1635.8,6.82K,-2.11%
2012-11-25,1710.9,1722.3,1750.5,1674.3,69.65K,-0.38%
2012-10-25,1717.5,1766.0,1794.8,1698.6,2.63K,-3.03%
2012-09-25,1771.1,1689.1,1785.3,1687.7,10.33K,5.13%
2012-08-25,1684.6,1613.4,1690.0,1583.1,11.42K,4.60%
2012-07-25,1610.5,1597.1,1627.5,1557.2,59.61K,0.44%
2012-06-25,1603.5,1560.0,1639.7,1545.5,10.99K,2.62%
2012-05-25,1562.6,1665.0,1670.5,1528.5,86.46K,-6.06%
2012-04-25,1663.4,1670.4,1682.8,1613.0,9.55K,-0.35%
2012-03-25,1669.3,1698.6,1724.6,1633.8,61.45K,-2.37%
2012-02-25,1709.9,1738.2,1790.4,1669.0,8.89K,-1.61%
2012-01-25,1737.8,1568.9,1747.7,1566.0,62.70K,10.98%
2011-12-25,1565.8,1747.0,1762.9,1525.0,10.60K,-10.30%
2011-11-25,1745.5,1706.7,1797.0,1674.4,81.48K,1.24%
2011-10-25,1724.2,1627.8,1752.0,1596.6,2.24K,6.41%
2011-09-25,1620.4,1825.8,1911.6,1562.4,10.61K,-11.38%
2011-08-25,1828.5,1623.0,1909.3,1607.0,24.85K,12.30%
2011-07-25,1628.3,1502.2,1634.9,1480.0,77.74K,8.39%
2011-06-25,1502.3,1535.7,1558.5,1490.7,14.69K,-2.19%
2011-05-25,1535.9,1572.9,1576.6,1471.0,84.31K,-1.29%
2011-04-25,1556.0,1433.4,1568.7,1413.0,15.55K,8.14%
2011-03-25,1438.9,1415.3,1446.9,1385.5,58.55K,2.10%
2011-02-25,1409.3,1333.1,1415.7,1324.9,13.73K,5.66%
2011-01-25,1333.8,1415.6,1423.9,1307.7,88.70K,-6.14%
2010-12-25,1421.1,1386.8,1431.1,1362.5,16.14K,2.61%
2010-11-25,1385.0,1360.3,1423.2,1327.5,106.91K,2.06%
2010-10-25,1357.1,1309.0,1383.9,1309.0,3.17K,3.77%
2010-09-25,1307.8,1252.3,1315.2,1239.0,8.09K,4.77%
2010-08-25,1248.3,1181.8,1249.4,1174.7,8.71K,5.64%
2010-07-25,1181.7,1241.7,1242.4,1158.7,60.70K,-5.12%
2010-06-25,1245.5,1217.0,1264.8,1196.9,16.40K,2.75%
2010-05-25,1212.2,1178.6,1246.5,1159.2,124.17K,2.72%
2010-04-25,1180.1,1112.9,1181.3,1111.3,8.60K,6.00%
2010-03-25,1113.3,1119.3,1145.0,1085.5,63.87K,-0.45%
2010-02-25,1118.3,1081.0,1127.4,1045.2,17.64K,3.26%
2010-01-25,1083.0,1097.1,1161.2,1073.2,113.97K,-1.11%
2009-12-25,1095.2,1181.0,1226.4,1075.0,23.25K,-7.27%
2009-11-25,1181.1,1043.5,1195.0,1043.5,127.74K,13.60%
2009-10-25,1039.7,1007.4,1070.2,986.8,3.43K,3.14%
2009-09-25,1008.0,954.2,1019.8,948.7,8.65K,5.92%
2009-08-25,951.7,952.6,971.1,931.5,7.37K,-0.21%
2009-07-25,953.7,929.3,958.1,905.6,48.33K,2.87%
2009-06-25,927.1,978.8,990.3,917.3,12.65K,-5.28%
2009-05-25,978.8,884.0,980.4,881.5,83.23K,9.89%
2009-04-25,890.7,918.6,932.5,865.0,17.10K,-3.46%
2009-03-25,922.6,945.0,960.8,885.0,71.42K,-2.01%
2009-02-25,941.5,929.0,1004.9,889.8,13.41K,1.53%
2009-01-25,927.3,881.5,930.3,805.6,78.17K,4.95%
2008-12-25,883.6,817.2,882.9,740.0,9.30K,8.26%
2008-11-25,816.2,728.8,824.0,707.0,60.05K,13.87%
2008-10-25,716.8,878.0,925.7,681.0,3.28K,-18.01%
2008-09-25,874.2,829.9,919.0,739.0,5.17K,5.41%
2008-08-25,829.3,904.9,916.1,780.9,8.86K,-9.26%
2008-07-25,913.9,943.6,986.2,893.3,103.25K,-1.33%
2008-06-25,926.2,887.3,933.7,858.2,9.30K,4.38%
2008-05-25,887.3,855.0,924.7,849.6,71.91K,2.84%
2008-04-25,862.8,915.0,948.7,863.0,13.22K,-5.83%
2008-03-25,916.2,984.2,1014.6,912.0,70.80K,-5.75%
2008-02-25,972.1,924.8,973.1,884.7,8.00K,5.35%
2008-01-25,922.7,848.7,936.3,846.4,74.15K,10.52%
2007-12-25,834.9,783.9,843.2,777.0,7.59K,6.74%
2007-11-25,782.2,785.3,841.3,777.6,73.99K,-1.24%
2007-10-25,792.0,745.1,795.4,724.3,2.76K,6.62%
2007-09-25,742.8,678.6,745.7,678.6,14.45K,10.37%
2007-08-25,673.0,663.2,676.2,642.9,8.32K,0.91%
2007-07-25,666.9,656.8,668.3,655.7,42.41K,2.90%
2007-06-25,648.1,661.5,674.0,640.0,4.47K,-1.95%
2007-05-25,661.0,673.7,673.7,651.5,58.01K,-2.87%
2007-04-25,680.5,665.5,692.5,656.1,4.50K,2.64%
2007-03-25,663.0,673.0,673.0,640.0,42.72K,-0.96%
2007-02-25,669.4,652.9,687.7,642.0,3.95K,2.67%
2007-01-25,652.0,640.4,655.5,607.0,30.45K,2.64%
2006-12-25,635.2,645.7,649.5,612.0,3.80K,-1.81%
2006-11-25,646.9,612.5,648.0,612.5,31.48K,7.08%
2006-10-25,604.1,598.9,608.9,560.5,6.53K,0.92%
2006-09-25,598.6,591.0,606.2,584.0,9.51K,-4.36%
2006-08-25,625.9,635.4,656.0,609.0,5.03K,-1.31%
2006-07-25,634.2,624.0,677.0,624.0,31.59K,3.37%
2006-06-25,613.5,642.8,645.1,555.0,6.22K,-4.51%
2006-05-25,642.5,658.0,723.0,638.0,56.56K,-1.43%
2006-04-25,651.8,582.0,642.0,582.0,8.19K,12.03%
2006-03-25,581.8,562.5,589.6,540.0,28.94K,3.60%
2006-02-25,561.6,571.6,575.3,535.5,10.30K,-1.61%
2006-01-25,570.8,518.6,572.7,518.6,42.03K,10.38%
2005-12-25,517.1,494.2,538.5,490.1,12.28K,4.55%
2005-11-25,494.6,463.0,502.3,455.3,48.42K,6.34%
2005-10-25,465.1,467.8,478.5,460.5,2.17K,-0.83%
2005-09-25,469.0,438.5,474.0,438.5,11.75K,8.11%
2005-08-25,433.8,430.0,449.5,429.1,3.00K,0.91%
2005-07-25,429.9,423.5,430.5,423.5,44.50K,-1.38%
2005-06-25,435.9,416.4,442.5,414.0,6.99K,4.71%
2005-05-25,416.3,416.5,420.2,413.2,58.88K,-4.30%
2005-04-25,435.0,428.3,438.2,422.7,2.58K,1.47%
2005-03-25,428.7,433.4,433.4,425.5,31.84K,-1.79%
2005-02-25,436.5,422.2,436.0,410.1,9.07K,3.49%
2005-01-25,421.8,431.0,431.0,418.7,48.27K,-3.59%
2004-12-25,437.5,451.6,456.5,432.6,12.86K,-3.06%
2004-11-25,451.3,434.0,454.8,434.0,70.97K,5.32%
