Date,Price,Open,High,Low,Vol.,Change %
2015-02-25,1.7676,1.473,1.8,1.4501,937.66K,24.90%
2015-01-25,1.4152,1.4806,1.5072,1.2265,845.43K,-1.40%
2014-12-25,1.4353,1.8301,1.8938,1.4101,976.83K,-24.61%
2014-11-25,1.9039,2.1479,2.1755,1.8605,915.46K,-12.24%
2014-10-25,2.1695,2.4492,2.501,2.1305,1.10M,-16.14%
2014-09-25,2.5869,2.6199,2.7577,2.495,978.95K,-7.04%
2014-08-25,2.7827,2.7884,2.7965,2.6374,901.62K,-1.71%
2014-07-25,2.8311,3.0442,3.0539,2.8106,949.25K,-7.99%
2014-06-25,3.077,2.9753,3.152,2.9202,906.11K,2.69%
2014-05-25,2.9965,2.9647,3.031,2.8718,1.07M,-0.37%
2014-04-25,3.0077,2.916,3.1128,2.8252,1.06M,3.32%
2014-03-25,2.911,2.983,3.0538,2.8521,847.43K,4.34%
2014-02-25,2.7898,2.6385,2.8628,2.5942,786.21K,6.19%
2014-01-25,2.6272,2.788,2.7975,2.5882,796.32K,-5.69%
2013-12-25,2.7858,2.664,2.8463,2.6152,832.50K,3.79%
2013-11-25,2.6841,2.597,2.7676,2.4945,984.92K,1.91%
2013-10-25,2.6337,2.6234,2.724,2.5417,988.52K,-0.04%
2013-09-25,2.6347,2.8875,2.9001,2.6065,835.48K,-12.71%
2013-08-25,3.0183,2.9963,3.1095,2.8161,904.42K,-0.85%
2013-07-25,3.0442,2.7101,3.1632,2.7026,981.01K,10.62%
2013-06-25,2.752,2.747,2.9193,2.687,873.80K,-0.98%
2013-05-25,2.7792,2.7874,2.9276,2.6879,1.06M,-0.77%
2013-04-25,2.8009,3.1105,3.1425,2.7025,1.10M,-9.81%
2013-03-25,3.1054,3.1029,3.2672,3.0203,894.14K,6.55%
2013-02-25,2.9146,3.0306,3.1691,2.827,876.40K,-3.68%
2013-01-25,3.0258,2.7617,3.05,2.6915,867.70K,7.60%
2012-12-25,2.812,2.7274,2.8392,2.5893,856.67K,1.83%
2012-11-25,2.7614,2.631,2.8016,2.5524,935.97K,-0.01%
2012-10-25,2.7618,2.9148,2.9929,2.569,1.03M,-17.36%
2012-09-25,3.342,2.9665,3.4258,2.8031,940.41K,7.61%
2012-08-25,3.1056,2.7721,3.205,2.7625,1.00M,6.55%
2012-07-25,2.9146,2.637,2.9456,2.57,921.63K,6.87%
2012-06-25,2.7272,2.72,2.7523,2.5376,1.01M,-3.46%
2012-05-25,2.825,3.1094,3.1234,2.805,1.11M,-11.29%
2012-04-25,3.1844,3.3225,3.4278,3.1052,1.12M,-6.06%
2012-03-25,3.3899,3.2641,3.4455,3.2138,943.76K,11.43%
2012-02-25,3.0423,2.8973,3.1548,2.841,845.44K,5.36%
2012-01-25,2.8874,2.6647,2.9677,2.6647,766.16K,7.49%
2011-12-25,2.6863,2.56,2.7189,2.4732,739.17K,4.62%
2011-11-25,2.5677,2.6,2.7585,2.444,903.82K,-2.85%
2011-10-25,2.6429,2.542,2.8667,2.4673,856.66K,0.64%
2011-09-25,2.626,2.8687,2.9186,2.5137,860.71K,-13.39%
2011-08-25,3.032,3.0644,3.145,2.5854,1.01M,-2.60%
2011-07-25,3.1129,2.9691,3.1816,2.9112,756.20K,2.68%
2011-06-25,3.0316,3.0475,3.0708,2.7348,932.23K,-3.77%
2011-05-25,3.1504,3.4132,3.4155,2.8428,1.17M,-9.07%
2011-04-25,3.4648,3.1096,3.48,3.0983,858.80K,11.49%
2011-03-25,3.1076,2.8944,3.125,2.773,780.59K,13.85%
2011-02-25,2.7296,2.498,2.856,2.4238,741.35K,9.60%
2011-01-25,2.4906,2.4288,2.5078,2.3414,699.93K,1.52%
2010-12-25,2.4532,2.1848,2.465,2.1848,846.62K,8.30%
2010-11-25,2.2652,2.0595,2.2854,2.0595,880.85K,7.64%
2010-10-25,2.1045,2.032,2.2011,2.0301,912.85K,2.92%
2010-09-25,2.0448,1.8575,2.0525,1.845,836.53K,8.22%
2010-08-25,1.8894,2.1191,2.1993,1.8241,929.91K,-10.31%
2010-07-25,2.1066,2.0599,2.1574,1.948,722.67K,2.23%
2010-06-25,2.0606,2.0225,2.193,1.9609,852.76K,2.02%
2010-05-25,2.0198,2.3994,2.4411,1.9008,896.50K,-15.71%
2010-04-25,2.3963,2.2995,2.4075,2.2202,874.64K,3.74%
2010-03-25,2.31,2.1862,2.3212,2.1372,836.05K,11.12%
2010-02-25,2.0788,1.913,2.1275,1.8419,812.60K,9.23%
2010-01-25,1.9031,2.075,2.1927,1.8899,696.71K,-7.28%
2009-12-25,2.0525,2.018,2.07,1.8124,729.01K,2.58%
2009-11-25,2.0008,1.958,2.0522,1.8672,688.62K,2.96%
2009-10-25,1.9432,1.7461,2.0953,1.6885,725.59K,12.59%
2009-09-25,1.7259,1.8155,1.8731,1.601,676.14K,-13.09%
2009-08-25,1.9859,2.0126,2.0855,1.8865,731.39K,-2.88%
2009-07-25,2.0448,1.91,2.065,1.601,656.38K,7.78%
2009-06-25,1.8972,1.905,2.1124,1.8267,810.81K,-1.75%
2009-05-25,1.931,1.4532,1.95,1.446,720.92K,30.99%
2009-04-25,1.4742,1.4139,1.5276,1.3411,614.25K,5.30%
2009-03-25,1.4,1.357,1.5372,1.2404,571.80K,9.32%
2009-02-25,1.2807,1.269,1.3373,1.0231,581.06K,0.93%
2009-01-25,1.2689,1.04,1.2861,0.9669,512.31K,25.86%
2008-12-25,1.0082,1.205,1.205,0.785,556.18K,-12.04%
2008-11-25,1.1462,1.4959,1.58,0.987,507.57K,-20.47%
2008-10-25,1.4413,2.48,2.504,1.408,616.10K,-41.99%
2008-09-25,2.4847,2.92,2.96,2.3348,807.92K,-19.78%
2008-08-25,3.0975,3.0647,3.197,2.916,180.37K,1.62%
2008-07-25,3.048,3.5042,3.631,2.9801,604.62K,-14.81%
2008-06-25,3.5777,3.3562,3.5762,3.176,395.87K,4.95%
2008-05-25,3.4089,2.935,3.52,2.8195,721.01K,16.30%
2008-04-25,2.9312,2.628,3.0815,2.592,800.57K,12.04%
2008-03-25,2.6163,2.718,2.7752,2.4655,364.33K,4.14%
2008-02-25,2.5123,2.2685,2.6169,2.2645,500.21K,4.89%
2008-01-25,2.3951,2.3951,2.3951,2.3951,608.89K,-0.36%
2007-12-25,2.4037,2.4037,2.4037,2.4037,602.90K,5.82%
2007-11-25,2.2715,2.3545,2.472,2.307,198.27K,-2.93%
2007-10-25,2.34,2.0411,2.36,1.945,764.14K,13.14%
2007-09-25,2.0683,1.963,2.1564,1.935,470.26K,0.80%
2007-08-25,2.0519,2.1055,2.1066,1.84,806.28K,-4.15%
2007-07-25,2.1408,2.2484,2.3836,2.02,668.59K,-6.69%
2007-06-25,2.2942,2.2125,2.325,2.1016,812.89K,1.91%
2007-05-25,2.2512,2.257,2.443,2.1483,986.85K,-7.76%
2007-04-25,2.4405,2.0535,2.455,1.982,777.23K,15.58%
2007-03-25,2.1115,1.865,2.1488,1.815,726.39K,14.28%
2007-02-25,1.8476,1.547,1.87,1.51,523.42K,23.10%
2007-01-25,1.5009,1.611,1.63,1.3351,496.18K,-6.32%
2006-12-25,1.6021,1.695,1.73,1.5592,450.06K,-5.89%
2006-11-25,1.7024,1.4888,1.715,1.455,371.89K,17.68%
2006-10-25,1.4466,1.597,1.597,1.41,259.94K,-7.46%
2006-09-25,1.5632,1.805,1.805,1.48,170.84K,-14.14%
2006-08-25,1.8207,2.315,2.4275,1.74,130.91K,-22.51%
2006-07-25,2.3496,2.3845,2.445,2.285,81.72K,-1.82%
2006-06-25,2.3931,2.25,2.42,2.145,80.56K,4.63%
2006-05-25,2.2873,2.194,2.505,2.115,61.48K,3.50%
2006-04-25,2.21,2.07,2.365,2.05,25.69K,7.05%
2006-03-25,2.0645,1.805,2.075,1.805,9.63K,33.69%
2006-02-25,1.5443,1.5443,1.5443,1.5443,0.28K,-12.05%
2006-01-25,1.7558,1.7558,1.7558,1.7558,0.05K,0.91%
2005-12-25,1.74,1.65,1.65,1.65,0.15K,13.94%
2005-11-25,1.5271,1.5271,1.5271,1.5271,0.03K,-3.42%
