Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
2/21/90,136.25,136.5,135,135.45,,135.45,314,1919
2/22/90,135.5,135.5,134,134.45,,134.45,334,1789
2/23/90,134.5,134.5,132,132.85,,132.85,478,1566
2/26/90,131.5,131.5,125,126,,126,682,1259
2/27/90,126,127,123.25,125.75,,125.75,732,940
2/28/90,126,127,124.5,126.25,,126.25,527,727
3/1/90,126.25,126.5,125.1,125.95,,125.95,116,379
3/2/90,126,130,126,129.15,,129.15,99,330
3/5/90,129.6,129.65,128,129.65,,129.65,70,204
3/6/90,130.25,130.25,130,130.1,,130.1,14,76
3/7/90,131,131,129,130.15,,130.15,24,86
3/8/90,130,130,130,130,,130,0,21
3/9/90,130.25,130.25,129.2,129.2,,129.2,23,40
3/12/90,129.85,129.85,129.85,129.85,,129.85,0,38
3/13/90,131,131,130.5,130.5,,130.5,37,93
3/14/90,129.7,129.7,129.7,129.7,,129.7,21,60
3/15/90,130,130,129.85,129.85,,129.85,55,72
3/16/90,131.5,131.5,130.25,130.25,,130.25,6,7
3/19/90,130.7,130.7,129.9,129.9,,129.9,48,53
3/20/90,130.5,130.5,129,129,,129,5,3
3/21/90,129.8,129.8,129.8,129.8,,129.8,0,1
3/22/90,130.4,130.4,130.4,130.4,,130.4,0,0
3/23/90,130.4,130.4,130.4,130.4,,130.4,0,0
3/26/90,126.85,126.85,126.85,126.85,,126.85,5,5
3/27/90,126.65,126.65,126.65,126.65,,126.65,4,4
3/28/90,130,130,129,129,,129,310,3828
3/29/90,129,130,129,129.7,,129.7,235,3779
3/30/90,129.5,130.5,129,129.75,,129.75,72,3780
4/2/90,129,129.5,128.5,129.3,,129.3,154,3702
4/3/90,129.5,130.25,129.3,129.95,,129.95,93,3639
4/4/90,129.75,129.95,129.35,129.45,,129.45,87,3633
4/5/90,129.5,129.75,129,129.05,,129.05,91,3637
4/6/90,129.75,130,129.5,129.55,,129.55,40,3643
4/9/90,129.5,129.75,129.25,129.35,,129.35,66,3613
4/10/90,129.5,130,129.4,129.65,,129.65,166,3529
4/11/90,129.25,130.25,129.25,129.85,,129.85,161,3485
4/12/90,130.5,130.5,129.5,129.95,,129.95,102,3509
4/16/90,129.5,130.5,129.25,129.75,,129.75,68,3486
4/17/90,129.5,129.75,129.1,129.1,,129.1,49,3486
4/18/90,129.6,129.6,128.25,128.8,,128.8,49,3482
4/19/90,129.5,129.5,128.8,129,,129,68,3460
4/20/90,128.5,129.5,127.6,127.7,,127.7,372,3465
4/23/90,128,128.5,127.5,127.8,,127.8,107,3424
4/24/90,128,128.25,125.5,126,,126,655,3465
4/25/90,126,126,120,123.35,,123.35,731,3253
4/26/90,123.25,123.75,122.75,122.75,,122.75,170,3112
4/27/90,123,123.5,121,121.05,,121.05,77,3049
4/30/90,115.05,117.75,115.05,117.35,,117.35,420,3068
5/1/90,117.5,120,117.5,119.95,,119.95,230,2987
5/2/90,119.7,119.9,118.5,119.85,,119.85,139,2966
5/3/90,118.25,119.4,118,119,,119,344,2841
5/4/90,120.5,120.9,120.1,120.4,,120.4,153,2835
5/7/90,119.8,120,119.25,119.4,,119.4,158,2841
5/8/90,119.6,119.75,117.45,117.7,,117.7,359,2669
5/9/90,117.7,118.5,117.4,118.25,,118.25,93,2634
5/10/90,118,118.75,117.5,118.5,,118.5,295,2622
5/11/90,118,119.25,118,118.85,,118.85,117,2619
5/14/90,119,119.75,118.5,119.4,,119.4,223,2594
5/15/90,119.25,119.5,118.5,119.3,,119.3,186,2492
5/16/90,119,121,118.5,120,,120,714,2407
5/17/90,119,119.9,118.5,119.25,,119.25,349,2362
5/18/90,119.25,123.5,119.25,123.5,,123.5,468,2287
5/21/90,122.75,123.5,120.75,121.4,,121.4,448,2103
5/22/90,120.5,122.75,120.5,122.5,,122.5,514,2100
5/23/90,120.5,122,120,121.55,,121.55,436,1936
5/24/90,121.75,123,121.75,122.25,,122.25,607,1535
5/25/90,122.75,123,122.5,122.9,,122.9,158,1427
